日期,Open,High,Low,Close
2011-07-29,27.147,28.029,24.937,25.294
2011-08-31,25.644,25.688,21.173,23.631
2011-09-30,23.668,23.908,21.013,21.431
2011-10-31,21.27,25.362,20.294,24.511
2011-11-30,23.763,25.003,22.795,24.856
2011-12-30,24.717,25.214,23.789,24.919
2012-01-31,25.406,27.26,25.214,26.743
2012-02-29,26.949,27.806,26.949,27.488
2012-03-30,27.533,28.269,26.551,27.757
2012-04-30,27.698,28.032,26.378,27.453
2012-05-31,27.394,27.743,25.235,25.717
2012-06-29,25.206,26.607,24.538,26.584
2012-07-31,26.651,26.972,25.243,26.689
2012-08-31,26.823,27.866,26.085,27.099
2012-09-28,27.009,28.373,26.644,27.401
2012-10-31,27.544,28.159,26.996,27.371
2012-11-30,27.446,28.211,26.396,27.851
2012-12-31,27.994,28.901,27.536,28.637
2013-01-31,29.257,30.912,29.106,30.285
2013-02-28,30.473,31.297,30.201,30.957
2013-03-28,30.761,31.911,30.541,31.653
2013-04-30,31.645,31.972,30.37,31.455
2013-05-31,31.266,33.922,31.038,33.034
2013-06-28,33.171,33.588,31.555,32.524
2013-07-31,32.791,34.812,32.303,34.446
2013-08-30,34.644,35.102,33.508,33.592
2013-09-30,33.912,36.62,33.66,35.562
2013-10-31,35.547,37.539,34.551,37.256
2013-11-29,37.34,38.911,37.218,38.62
2013-12-31,38.605,40.28,37.647,40.249
2014-01-31,40.033,40.295,38.077,38.531
2014-02-28,38.439,40.31,37.261,40.095
2014-03-31,39.663,41.011,39.465,40.478
2014-04-30,40.648,41.375,39.248,41.019
2014-05-30,40.981,41.862,40.517,41.808
2014-06-30,41.832,43.177,41.669,42.007
2014-07-31,42.053,42.589,40.251,40.274
2014-08-29,40.173,42.349,39.784,41.976
2014-09-30,42.069,42.806,41.182,41.495
2014-10-31,41.362,43.353,38.122,43.103
2014-11-28,43.165,44.984,42.861,44.43
2014-12-31,44.29,45.323,42.267,44.42
2015-01-30,44.64,44.703,42.308,42.842
2015-02-27,42.952,45.716,42.559,45.135
2015-03-31,45.237,45.558,43.338,43.985
