日期,Open,High,Low,Close
2020-07-24,63.816,65.517,63.659,64.579
2020-07-31,64.855,65.851,64.145,65.274
2020-08-07,65.484,67.085,64.998,66.885
2020-08-14,67.123,68.829,67.018,68.414
2020-08-21,68.976,70.015,68.676,69.648
2020-08-28,70.125,71.954,70.12,71.721
2020-09-04,71.711,73.441,68.429,70.115
2020-09-11,68.962,71.602,68.633,69.596
2020-09-18,70.368,71.483,67.985,68.557
2020-09-25,67.462,69.84,66.383,68.717
2020-10-02,69.62,71.157,69.338,70.794
2020-10-09,71.172,73.411,70.288,73.239
2020-10-16,73.75,74.552,72.217,72.981
2020-10-23,73.459,73.75,71.477,73.048
2020-10-30,72.303,72.599,67.677,68.264
2020-11-06,69.157,73.602,67.996,72.938
2020-11-13,75.459,75.459,71.673,73.268
2020-11-20,74.008,74.466,73.234,73.382
2020-11-27,73.788,75.817,73.592,75.545
2020-12-04,75.431,75.994,74.108,75.455
2020-12-11,75.287,75.655,74.118,74.629
2020-12-18,75.307,76.935,74.714,76.39
2020-12-24,75.293,75.968,74.542,75.523
2020-12-31,76.259,77.006,75.867,76.91
2021-01-08,77.388,80.823,75.312,80.742
2021-01-15,79.799,80.923,78.996,79.311
2021-01-22,79.986,82.177,79.45,81.368
2021-01-29,81.579,82.258,77.058,77.498
2021-02-05,78.398,82.665,77.919,82.387
2021-02-12,82.923,82.975,80.775,81.473
2021-02-19,81.631,81.981,80.22,81.139
2021-02-26,80.364,80.646,76.063,77.087
2021-03-05,78.044,79.177,71.586,75.016
2021-03-12,75.317,79.847,74.977,79.775
2021-03-19,79.885,81.416,78.23,79.622
2021-03-26,80.185,80.832,77.305,79.562
2021-04-01,79.356,81.306,78.465,81.172
2021-04-09,82.465,84.334,82.312,84.315
2021-04-16,84.31,86.317,84.238,86.178
2021-04-23,85.704,85.786,83.51,85.196
2021-04-30,85.484,85.996,84.636,85.723
2021-05-07,86.188,86.231,83.371,85.1
2021-05-14,85.129,85.129,79.543,81.804
2021-05-21,81.56,82.207,79.289,80.755
2021-05-28,81.191,83.27,80.913,82.81
2021-06-04,83.304,83.361,81.153,81.943
2021-06-11,81.881,82.997,81.32,82.988
2021-06-18,82.992,83.218,81.895,82.484
2021-06-25,82.751,85.769,82.525,85.376
2021-07-02,85.385,86.93,84.944,86.916
2021-07-09,87.045,87.621,85.236,87.564
2021-07-16,87.664,88.187,85.346,85.414
2021-07-23,84.037,88.082,83.38,87.938
2021-07-30,87.986,88.619,86.412,86.575
2021-08-06,87.281,87.621,86.412,86.853
2021-08-13,86.873,87.472,86.522,87.117
2021-08-20,86.609,86.781,83.907,85.227
2021-08-27,85.683,87.403,85.596,87.252
2021-09-03,87.501,88.622,87.448,88.058
2021-09-10,88.096,89.037,87.693,87.76
2021-09-17,88.154,89.053,86.839,88.341
2021-09-24,86.666,88.93,85.239,88.853
2021-10-01,88.497,89.569,85.777,86.882
2021-10-08,87.147,88.497,85.652,87.762
2021-10-15,87.728,90.864,87.401,90.828
2021-10-22,90.635,93.134,90.616,92.625
2021-10-29,93.432,96.883,93.057,96.662
2021-11-05,97.373,102.212,96.791,101.52
2021-11-12,100.439,101.308,96.623,97.93
2021-11-19,98.002,101.871,97.286,101.597
2021-11-26,102.25,103.346,97.901,98.065
2021-12-03,99.353,100.381,94.956,95.941
2021-12-10,96.325,99.718,94.984,98.507
2021-12-17,97.935,98.098,93.057,93.846
2021-12-23,92.345,98.048,91.392,97.788
2021-12-31,97.971,99.493,97.928,98.39
2022-01-07,100.243,101.937,95.69,96.003
2022-01-14,94.742,97.759,92.682,94.578
2022-01-21,93.24,93.688,86.791,86.83
2022-01-28,85.03,89.0,82.527,85.713
2022-02-04,86.146,90.252,85.809,88.745
2022-02-11,89.053,91.522,86.469,86.859
2022-02-18,86.748,89.814,85.766,86.628
2022-02-25,85.415,86.252,77.719,84.794
2022-03-04,83.961,86.449,81.728,82.585
2022-03-11,82.787,82.975,77.825,80.236
2022-03-18,80.145,87.636,78.408,87.532
2022-03-25,87.623,89.339,85.999,88.38
2022-04-01,89.31,92.636,88.79,89.281
2022-04-08,89.32,91.316,85.512,86.51
2022-04-14,85.209,87.527,84.755,85.989
2022-04-22,85.705,90.559,84.659,84.746
2022-04-29,84.004,85.43,78.354,78.509
2022-05-06,78.268,81.875,74.889,76.229
2022-05-13,74.566,75.607,68.459,73.419
2022-05-20,73.125,73.679,65.712,67.678
2022-05-27,67.948,74.132,65.552,74.113
2022-06-03,74.19,76.01,73.057,73.747
2022-06-10,75.058,75.438,69.418,69.635
2022-06-17,67.215,68.999,64.126,65.601
2022-06-24,66.897,71.038,66.521,71.014
2022-07-01,71.361,71.729,65.105,67.641
2022-07-08,66.67,71.236,66.202,70.714
2022-07-15,70.265,70.458,66.738,69.975
2022-07-22,70.932,76.236,69.907,74.763
2022-07-29,74.825,78.98,71.603,78.666
2022-08-05,78.681,81.096,78.256,79.381
2022-08-12,80.207,82.111,78.004,82.087
2022-08-19,81.879,84.43,80.664,80.937
2022-08-26,79.71,80.608,77.123,77.144
2022-09-02,76.072,77.555,73.883,75.12
2022-09-09,75.449,79.594,73.845,79.463
2022-09-16,79.903,80.773,75.217,76.304
2022-09-23,75.65,77.398,69.981,70.886
2022-09-30,70.596,73.249,68.761,68.964
2022-10-07,68.901,72.14,67.696,68.093
2022-10-14,68.195,69.066,64.656,65.488
2022-10-21,66.887,70.475,66.544,68.94
2022-10-28,68.625,71.806,67.401,70.18
2022-11-04,69.807,71.119,65.312,66.568
2022-11-11,66.97,70.63,63.857,70.242
2022-11-18,69.632,71.148,67.468,68.258
2022-11-25,67.875,69.245,66.907,69.052
2022-12-02,68.679,71.322,68.001,70.664
2022-12-09,69.724,69.942,66.887,67.502
2022-12-16,67.362,70.354,64.491,64.83
2022-12-23,64.818,64.954,61.473,62.833
2022-12-30,62.541,63.012,61.168,62.702
2023-01-06,63.075,64.362,61.57,64.114
2023-01-13,64.891,67.881,64.187,67.818
2023-01-20,68.017,68.949,65.532,67.469
2023-01-27,67.648,72.348,66.896,71.794
2023-02-03,71.255,76.714,70.513,73.474
2023-02-10,73.197,74.367,71.338,71.92
2023-02-17,71.916,74.726,71.43,73.095
2023-02-24,72.003,72.197,69.265,69.838
2023-03-03,70.629,71.231,68.464,71.027
2023-03-10,71.207,71.454,66.862,67.09
2023-03-17,66.1,69.799,65.881,68.614
2023-03-24,68.532,71.366,68.05,68.941
2023-03-31,69.603,72.861,68.532,72.817
2023-04-06,72.159,72.554,69.579,70.572
2023-04-14,69.851,71.97,69.433,71.531
2023-04-21,71.711,72.564,70.577,71.76
2023-04-28,71.867,72.291,69.827,71.999
2023-05-05,71.823,72.013,70.139,71.672
2023-05-12,71.892,73.036,71.405,71.984
2023-05-19,72.067,74.448,71.449,73.796
2023-05-26,73.83,74.536,72.057,74.0
2023-06-02,74.808,76.735,72.802,76.449
2023-06-09,76.435,79.541,76.23,78.495
2023-06-16,78.977,81.74,78.743,81.017
2023-06-23,80.843,81.795,80.053,80.726
2023-06-30,80.233,83.117,79.658,82.854
2023-07-07,83.683,84.317,82.151,82.639
2023-07-14,82.702,85.723,82.185,85.347
2023-07-21,85.396,86.752,83.061,83.424
2023-07-28,83.307,84.761,82.727,84.293
2023-08-04,84.503,85.2,81.644,83.703
2023-08-11,83.995,84.576,82.197,82.81
2023-08-18,82.302,83.122,78.521,79.365
2023-08-25,79.828,81.287,79.092,80.341
2023-09-01,80.858,83.981,80.18,82.785
2023-09-08,82.639,83.039,81.029,82.336
2023-09-15,83.561,85.498,83.522,83.82
2023-09-22,83.583,83.68,78.592,78.661
2023-09-29,78.338,79.712,76.613,78.685
2023-10-06,78.216,79.389,76.564,78.504
2023-10-13,77.556,80.2,77.062,77.703
2023-10-20,78.123,79.536,74.105,74.144
2023-10-27,73.846,75.503,72.257,73.118
2023-11-03,73.958,78.734,73.142,78.314
2023-11-10,78.607,79.448,77.302,78.89
2023-11-17,78.543,82.678,78.191,81.696
2023-11-24,81.676,82.786,81.241,82.234
2023-12-01,82.283,83.876,81.818,83.627
2023-12-08,83.021,84.814,82.791,84.653
2023-12-15,84.555,87.811,84.296,87.596
2023-12-22,87.875,89.212,87.189,87.885
2023-12-29,88.081,88.854,87.258,87.557
2024-01-05,87.282,87.322,84.144,84.526
2024-01-12,84.673,86.541,84.651,85.182
2024-01-19,84.668,85.809,83.713,85.637
2024-01-26,85.823,86.068,83.108,84.065
2024-02-02,84.237,87.18,83.62,86.827
2024-02-09,85.936,88.232,84.594,88.09
2024-02-16,88.12,88.57,85.804,87.66
2024-02-23,86.856,89.315,86.284,88.771
2024-03-01,89.031,90.73,88.908,90.598
2024-03-08,90.152,90.456,87.699,88.291
2024-03-15,88.046,89.182,86.947,87.185
2024-03-22,88.062,90.893,87.448,89.666
2024-03-28,89.318,90.672,89.318,90.24
2024-04-05,90.339,90.437,87.264,87.762
2024-04-12,88.282,89.063,86.629,86.913
2024-04-19,87.546,87.61,82.975,83.306
2024-04-26,83.483,86.908,82.884,86.324
2024-05-03,88.101,88.469,85.206,87.306
2024-05-10,87.851,88.238,86.776,87.399
2024-05-17,87.777,88.14,86.982,87.694
2024-05-24,87.487,87.733,85.154,86.143
2024-05-31,85.829,86.374,84.999,86.354
2024-06-07,86.413,87.713,85.51,87.183
2024-06-14,86.928,88.911,86.462,87.512
2024-06-21,87.399,89.73,87.237,89.612
2024-06-28,89.82,90.838,88.536,89.702
2024-07-05,90.051,93.154,89.539,93.095
2024-07-12,92.977,95.239,92.677,94.172
2024-07-19,94.698,95.795,91.989,92.362
2024-07-26,93.031,93.887,88.541,89.805
2024-08-02,90.41,92.977,85.595,86.633
2024-08-09,82.158,86.328,81.873,85.738
2024-08-16,85.905,90.435,84.877,90.061
2024-08-23,90.292,92.495,90.204,92.392
2024-08-30,92.303,92.5,89.825,92.023
2024-09-06,91.757,92.657,89.662,89.702
