日期,Open,High,Low,Close
2023-07-24,50.838,51.693,50.621,51.349
2023-07-25,51.693,52.823,51.575,52.361
2023-07-26,52.066,52.459,51.811,52.292
2023-07-27,52.027,52.135,51.172,51.319
2023-07-28,51.673,51.781,51.044,51.761
2023-07-31,52.213,53.118,52.077,52.96
2023-08-01,52.331,52.626,52.046,52.371
2023-08-02,51.742,51.771,50.695,50.857
2023-08-03,50.661,51.152,50.248,50.739
2023-08-04,50.779,51.496,50.543,50.779
2023-08-07,50.906,51.093,50.307,50.857
2023-08-08,50.11,50.847,49.658,50.838
2023-08-09,51.005,51.142,50.582,50.818
2023-08-10,51.054,51.137,49.619,49.914
2023-08-11,49.619,50.194,49.481,50.061
2023-08-14,50.484,51.231,49.673,51.162
2023-08-15,50.7,50.715,49.904,49.953
2023-08-16,49.904,50.7,49.757,50.101
2023-08-17,50.729,51.049,50.204,50.218
2023-08-18,50.061,50.454,49.59,50.307
2023-08-21,50.317,50.513,49.58,50.012
2023-08-22,50.386,50.538,49.943,50.248
2023-08-23,50.169,50.671,49.983,50.297
2023-08-24,49.992,50.11,49.432,49.521
2023-08-25,49.688,49.865,48.744,49.511
2023-08-28,49.648,50.395,49.648,50.051
2023-08-29,50.032,51.241,49.786,51.231
2023-08-30,51.368,51.452,51.034,51.083
2023-08-31,51.172,51.447,51.024,51.162
2023-09-01,51.987,52.503,51.879,52.253
2023-09-05,52.046,52.046,51.329,51.565
2023-09-06,51.506,51.946,50.7,51.191
2023-09-07,50.68,50.877,50.258,50.798
2023-09-08,50.798,50.926,50.327,50.533
2023-09-11,51.172,51.476,50.543,50.651
2023-09-12,50.621,51.26,50.397,50.838
2023-09-13,51.034,51.339,50.818,51.221
2023-09-14,52.056,53.137,51.997,52.97
2023-09-15,52.931,53.088,52.194,52.41
2023-09-18,52.467,52.517,51.955,52.004
2023-09-19,52.142,52.556,51.452,51.649
2023-09-20,51.856,52.359,51.363,51.383
2023-09-21,50.614,50.767,50.195,50.338
2023-09-22,50.87,51.304,50.722,50.821
2023-09-25,50.614,51.432,50.466,51.294
2023-09-26,50.959,51.294,50.259,50.318
2023-09-27,50.712,51.393,50.505,50.9
2023-09-28,51.146,52.034,51.067,51.817
2023-09-29,52.418,52.536,51.496,51.757
2023-10-02,51.176,51.304,49.973,50.358
2023-10-03,49.835,50.565,49.391,49.687
2023-10-04,49.648,49.727,48.634,49.253
2023-10-05,49.056,49.618,48.854,49.184
2023-10-06,49.194,50.525,49.027,50.091
2023-10-09,49.953,50.944,49.884,50.643
2023-10-10,50.959,51.615,50.959,51.294
2023-10-11,51.442,51.708,50.801,51.373
2023-10-12,50.88,50.939,49.125,49.727
2023-10-13,50.131,50.584,49.589,49.727
2023-10-16,50.141,50.624,49.835,50.2
2023-10-17,49.736,51.526,49.736,51.255
2023-10-18,51.077,51.156,49.776,49.924
2023-10-19,49.806,49.904,48.78,48.958
2023-10-20,48.81,49.046,48.144,48.199
2023-10-23,47.814,48.539,47.331,47.873
2023-10-24,48.307,49.115,48.238,48.573
2023-10-25,48.455,48.81,48.09,48.248
2023-10-26,47.962,48.968,47.962,48.297
2023-10-27,48.593,48.864,47.942,48.682
2023-10-30,49.194,49.48,48.524,49.076
2023-10-31,49.007,49.263,48.411,48.76
2023-11-01,48.79,49.041,48.287,48.958
2023-11-02,49.539,50.17,49.47,49.963
