日期,Open,High,Low,Close
2011-07-29,27.17,29.88,24.02,24.95
2011-08-31,25.52,26.92,19.67,26.5
2011-09-30,26.46,27.83,20.51,21.52
2011-10-31,21.4,27.305,19.28,25.985
2011-11-30,24.925,28.915,24.575,28.455
2011-12-30,28.515,32.005,28.295,31.525
2012-01-31,32.025,36.9,30.815,36.03
2012-02-29,36.45,39.25,35.76,38.94
2012-03-30,38.93,44.49,37.78,43.88
2012-04-30,43.8,47.425,41.12,45.715
2012-05-31,46.005,47.315,40.215,43.345
2012-06-29,40.725,41.525,34.535,37.405
2012-07-31,37.255,40.77,34.32,38.11
2012-08-31,38.45,41.93,36.17,36.99
2012-09-28,36.75,42.48,36.02,39.61
2012-10-31,40.07,45.755,38.89,43.715
2012-11-30,43.685,48.355,40.335,40.685
2012-12-31,40.725,43.955,36.675,40.005
2013-01-31,41.105,42.055,37.12,38.88
2013-02-28,39.16,40.42,33.62,39.42
2013-03-28,38.83,46.15,38.29,45.88
2013-04-30,45.87,46.26,37.435,42.395
2013-05-31,42.065,45.205,41.525,42.025
2013-06-28,42.065,48.165,41.335,43.615
2013-07-31,43.875,48.63,43.535,47.53
2013-08-30,48.11,49.74,44.18,44.63
2013-09-30,45.35,48.37,43.39,46.0
2013-10-31,46.19,46.69,39.06,42.6
2013-11-29,42.59,53.66,42.49,52.66
2013-12-31,52.54,53.55,46.23,50.59
2014-01-31,50.36,52.31,41.18,42.5
2014-02-28,42.71,49.69,41.19,49.43
2014-03-31,48.69,53.3,47.58,50.74
2014-04-30,50.86,55.42,49.98,52.71
2014-05-30,52.64,53.12,49.79,53.03
2014-06-30,52.68,57.85,52.68,56.92
2014-07-31,57.34,60.09,44.18,45.49
2014-08-29,45.56,49.56,45.47,48.52
2014-09-30,48.09,49.44,45.72,48.07
2014-10-31,48.02,48.92,42.31,48.33
2014-11-28,48.22,54.07,47.68,53.75
2014-12-31,52.11,55.07,45.5,49.35
2015-01-30,49.94,51.85,45.88,49.19
2015-02-27,49.35,59.38,47.41,58.02
2015-03-31,57.91,59.74,53.31,55.63
2015-04-30,55.56,64.74,55.06,63.28
2015-05-29,63.82,73.22,63.78,67.43
2015-06-30,67.18,70.65,66.58,67.4
2015-07-31,68.43,69.74,62.49,65.49
