日期,Open,High,Low,Close
2020-07-24,75.69,79.55,75.01,78.48
2020-07-31,78.36,80.78,75.5,76.39
2020-08-07,76.59,77.87,75.38,76.16
2020-08-14,76.29,79.24,76.24,77.99
2020-08-21,78.19,81.67,77.89,81.44
2020-08-28,81.74,83.41,80.51,83.26
2020-09-04,82.99,84.46,80.11,81.03
2020-09-11,80.81,81.94,77.31,78.08
2020-09-18,78.96,81.26,77.87,77.92
2020-09-25,76.21,77.55,73.89,77.19
2020-10-02,77.69,81.12,76.05,80.98
2020-10-09,81.49,81.89,77.64,81.3
2020-10-16,81.32,86.56,80.66,84.34
2020-10-23,84.2,87.32,82.81,87.09
2020-10-30,86.35,86.35,78.03,79.14
2020-11-06,80.23,87.07,79.54,85.19
2020-11-13,89.8,92.14,85.55,88.68
2020-11-20,89.52,91.7,88.82,90.8
2020-11-27,91.4,93.98,90.3,93.46
2020-12-04,92.48,93.27,90.6,92.14
2020-12-11,91.81,93.36,90.76,92.27
2020-12-18,93.17,96.45,91.61,96.06
2020-12-24,94.4,95.73,92.95,93.82
2020-12-31,94.77,96.94,93.66,94.84
2021-01-08,95.3,95.3,91.14,93.43
2021-01-15,93.08,95.94,92.28,92.9
2021-01-22,93.24,95.91,92.35,93.37
2021-01-29,92.57,93.51,87.46,87.77
2021-02-05,88.52,93.2,87.92,91.62
2021-02-12,91.1,92.76,88.53,92.25
2021-02-19,92.45,92.96,90.71,91.91
2021-02-26,91.2,93.51,89.99,90.31
2021-03-05,90.79,92.635,88.72,91.11
2021-03-12,91.28,92.56,89.43,91.59
2021-03-19,92.02,98.46,91.9,94.74
2021-03-26,94.56,95.76,92.79,94.84
2021-04-01,94.78,97.46,93.86,96.58
2021-04-09,96.85,101.75,96.73,101.74
2021-04-16,101.78,105.75,101.765,104.84
2021-04-23,105.16,105.49,103.7,104.5
2021-04-30,104.73,106.7,102.14,106.3
2021-05-07,106.78,109.19,105.84,108.01
2021-05-14,108.35,109.505,103.7,106.05
2021-05-21,106.11,107.33,104.17,106.49
2021-05-28,106.94,108.38,106.58,107.25
2021-06-04,108.28,108.28,104.46,106.05
2021-06-11,106.16,107.45,104.54,106.93
2021-06-18,106.55,106.83,101.8,101.92
2021-06-25,102.78,105.215,102.18,104.53
2021-07-02,104.18,104.36,101.79,104.23
2021-07-09,104.72,106.13,102.91,105.86
2021-07-16,105.31,105.54,103.0,103.13
2021-07-23,101.77,110.71,99.43,110.07
2021-07-30,110.05,119.297,108.8,118.67
2021-08-06,119.37,121.9,118.37,121.31
2021-08-13,121.19,122.28,120.165,122.24
2021-08-20,121.76,123.05,120.41,121.74
2021-08-27,122.31,122.79,118.82,119.48
2021-09-03,119.5,120.39,118.23,118.7
2021-09-10,119.04,119.27,116.473,117.67
2021-09-17,117.98,118.04,114.56,114.87
2021-09-24,113.2,114.57,111.78,113.3
2021-10-01,112.86,114.4,109.46,111.42
2021-10-08,111.11,113.98,108.99,111.17
2021-10-15,111.13,114.64,109.29,112.99
2021-10-22,113.04,115.04,112.56,114.35
2021-10-29,114.52,115.74,111.04,112.72
2021-11-05,113.32,115.63,110.84,114.46
2021-11-12,114.21,115.12,110.795,113.0
2021-11-19,113.68,115.78,113.45,114.74
2021-11-26,114.98,116.65,112.18,112.48
2021-12-03,113.64,116.27,110.66,113.11
2021-12-10,114.41,123.03,114.32,122.15
2021-12-17,121.33,122.28,119.345,120.21
2021-12-23,118.97,124.11,118.4,123.62
2021-12-31,123.46,128.13,123.46,127.14
2022-01-07,126.66,127.05,123.13,123.63
2022-01-14,123.04,123.28,114.62,115.34
2022-01-21,114.29,115.35,111.69,112.52
2022-01-28,110.95,114.84,106.72,110.52
2022-02-04,110.44,115.42,110.11,113.55
2022-02-11,113.48,121.15,109.79,110.35
2022-02-18,110.53,115.75,108.82,114.65
2022-02-25,113.87,114.79,107.38,112.57
2022-03-04,110.66,112.18,105.19,107.58
2022-03-11,106.9,107.62,101.36,105.11
2022-03-18,104.13,111.28,100.48,110.84
2022-03-25,110.69,111.21,104.61,108.47
2022-04-01,108.82,113.19,106.52,107.67
2022-04-08,107.21,109.685,104.4,108.02
2022-04-14,107.78,111.95,106.83,111.82
2022-04-22,111.24,116.129,110.85,111.25
2022-04-29,110.35,111.14,105.39,105.86
2022-05-06,105.75,107.78,101.87,104.24
2022-05-13,102.6,102.86,97.395,101.68
2022-05-20,101.36,102.52,97.44,100.77
2022-05-27,101.85,109.19,99.816,109.19
2022-06-03,107.98,111.47,107.5,108.04
2022-06-10,108.69,110.42,103.65,103.83
2022-06-17,101.22,102.67,97.79,98.92
2022-06-24,100.42,104.11,98.665,103.84
2022-07-01,104.05,107.45,101.66,106.13
2022-07-08,105.3,107.6,104.177,106.7
2022-07-15,105.89,108.79,103.55,107.57
2022-07-22,109.87,111.08,107.65,108.87
2022-07-29,109.07,112.43,105.32,111.96
2022-08-05,111.19,113.209,107.52,107.84
2022-08-12,108.19,109.895,105.84,107.58
2022-08-19,107.26,108.995,105.774,106.07
2022-08-26,104.82,106.91,102.04,102.15
2022-09-02,101.8,104.83,100.53,102.73
2022-09-09,103.34,106.99,101.84,106.08
2022-09-16,107.65,108.64,103.39,105.71
2022-09-23,105.55,107.28,99.43,100.64
2022-09-30,100.74,100.98,96.29,96.33
2022-10-07,97.47,103.045,96.15,98.92
2022-10-14,99.33,101.5,93.955,96.76
2022-10-21,98.57,102.28,98.55,101.02
2022-10-28,100.95,108.55,97.69,107.87
2022-11-04,107.57,112.41,106.18,111.77
2022-11-11,111.49,114.95,111.42,113.32
2022-11-18,113.47,115.445,111.84,114.6
2022-11-25,114.73,118.06,112.73,117.09
2022-12-02,116.84,120.845,116.07,120.24
2022-12-09,120.675,121.94,118.19,118.27
2022-12-16,118.28,122.8,117.52,119.93
2022-12-23,119.67,120.38,117.66,119.46
2022-12-30,119.86,121.42,117.905,118.64
2023-01-06,118.98,121.26,116.41,120.85
2023-01-13,121.25,121.81,118.7,120.78
2023-01-20,121.15,122.14,116.45,117.19
2023-01-27,117.55,120.55,116.6,118.69
2023-02-03,118.52,121.15,116.72,117.57
2023-02-10,117.46,124.15,117.05,121.87
2023-02-17,122.41,124.33,120.38,122.6
2023-02-24,122.045,122.355,117.995,117.995
2023-03-03,118.825,120.875,116.955,120.835
2023-03-10,121.195,121.65,115.535,115.745
2023-03-17,114.985,119.78,114.945,118.015
2023-03-24,118.185,120.69,118.085,118.995
2023-03-31,119.595,123.435,118.995,123.245
2023-04-06,123.245,124.465,122.435,123.265
2023-04-14,122.715,126.515,121.815,126.045
2023-04-21,126.565,129.695,126.145,129.495
2023-04-28,129.895,132.095,128.195,131.745
2023-05-05,131.745,134.41,126.545,128.655
2023-05-12,128.615,129.875,127.225,129.675
2023-05-19,130.065,130.515,127.995,129.445
2023-05-26,129.835,130.685,120.265,121.63
2023-06-02,121.04,126.38,118.675,126.3
2023-06-09,126.31,126.96,123.12,125.21
2023-06-16,125.32,132.31,125.065,130.35
2023-06-23,129.28,130.23,127.07,127.37
2023-06-30,126.83,130.62,124.78,130.32
2023-07-07,129.3,129.8,123.83,125.22
2023-07-14,125.54,128.26,125.11,127.33
2023-07-21,127.33,129.435,125.56,129.31
2023-07-28,130.04,131.16,127.365,128.71
2023-08-04,128.1,130.93,124.29,126.12
2023-08-11,126.73,127.82,124.865,125.97
2023-08-18,125.81,127.15,120.15,120.89
2023-08-25,120.74,122.65,120.07,121.51
2023-09-01,121.905,123.195,120.655,122.015
2023-09-08,121.925,121.925,118.315,118.905
2023-09-15,119.035,124.72,118.3,120.365
2023-09-22,120.625,121.855,116.475,117.375
2023-09-29,116.895,117.775,113.515,117.315
2023-10-06,116.905,117.75,110.565,111.835
2023-10-13,111.085,112.985,107.9,109.255
2023-10-20,109.925,114.345,109.485,112.325
2023-10-27,111.485,113.63,110.655,111.815
2023-11-03,112.665,119.225,111.635,118.715
2023-11-10,118.755,119.085,115.97,118.325
2023-11-17,117.875,120.865,117.235,120.035
2023-11-24,120.315,121.73,119.675,120.885
2023-12-01,120.53,121.39,117.436,120.31
2023-12-08,119.4,120.43,116.68,117.32
2023-12-15,117.52,124.89,117.39,121.62
2023-12-22,122.85,124.95,120.8,122.98
2023-12-29,122.86,124.23,122.54,123.64
2024-01-05,122.71,123.68,120.42,121.32
2024-01-12,121.19,122.55,119.98,122.11
2024-01-19,121.67,125.55,121.13,125.28
2024-01-26,125.52,125.615,121.52,122.07
2024-02-02,122.08,124.96,120.67,121.73
2024-02-09,121.0,125.63,118.72,123.25
2024-02-16,123.26,128.825,122.765,127.53
2024-02-23,127.44,132.32,126.74,131.97
2024-03-01,132.07,133.3,129.86,131.07
2024-03-08,130.75,135.29,130.34,133.21
2024-03-15,133.11,135.17,129.74,130.49
2024-03-22,130.06,131.09,128.83,129.88
2024-03-28,129.71,132.48,128.07,132.3
2024-04-05,132.2,135.07,128.79,129.75
2024-04-12,129.54,132.41,128.15,131.45
2024-04-19,132.02,132.87,130.44,132.15
2024-04-26,132.1,136.44,131.44,135.42
2024-05-03,135.73,136.85,127.57,127.99
2024-05-10,128.27,133.3,127.85,131.27
2024-05-17,131.55,135.57,129.84,135.31
2024-05-24,135.17,135.265,129.97,131.97
2024-05-31,131.83,131.89,128.57,131.75
2024-06-07,131.46,136.55,130.53,134.29
2024-06-14,134.2,134.59,130.35,131.11
2024-06-21,130.75,132.56,127.69,128.61
2024-06-28,128.75,129.42,125.59,126.78
2024-07-05,126.88,127.11,122.55,123.44
2024-07-12,124.19,125.8,120.79,125.63
2024-07-19,125.34,126.29,120.57,121.25
2024-07-26,121.16,123.36,119.08,122.37
2024-08-02,122.24,130.91,121.38,129.5
2024-08-09,129.44,134.19,126.3,131.11
2024-08-16,130.28,133.02,129.13,131.72
2024-08-23,132.04,132.75,129.27,129.84
2024-08-30,130.25,131.655,128.73,129.91
2024-09-06,129.59,130.64,127.62,128.86
2024-09-13,128.8,130.18,125.62,128.64
2024-09-20,129.42,130.465,123.71,124.7
2024-09-27,124.82,135.01,124.67,134.91
2024-10-04,134.97,136.47,130.52,131.56
2024-10-11,131.13,132.06,127.49,129.01
2024-10-18,128.72,130.14,126.04,129.26
2024-10-25,128.58,130.64,127.35,128.03
2024-11-01,129.26,130.54,126.01,127.33
2024-11-08,127.49,133.45,126.29,132.2
2024-11-15,131.7,133.56,128.42,128.58
2024-11-22,128.44,130.86,126.16,130.26
2024-11-29,131.22,134.97,130.0,133.93
2024-12-06,133.59,135.26,132.73,133.29
2024-12-13,133.54,134.91,132.105,132.66
2024-12-20,132.72,133.57,125.8,128.02
2024-12-27,128.91,132.46,127.59,130.89
2025-01-03,129.79,131.58,128.03,129.1
2025-01-10,128.96,129.88,118.85,118.91
2025-01-17,118.46,123.4,117.79,120.98
2025-01-24,120.49,125.12,120.24,123.92
2025-01-31,124.51,127.94,123.95,126.16
2025-02-07,125.1,140.37,124.39,139.22
2025-02-14,140.58,144.96,139.41,143.57
2025-02-21,143.16,147.27,141.64,145.12
2025-02-28,145.47,152.93,145.04,152.74
2025-03-07,153.89,159.67,152.51,158.9
2025-03-14,157.68,158.81,149.03,151.42
2025-03-21,150.705,154.87,150.61,153.12
2025-03-28,153.44,155.41,151.12,152.13
2025-04-04,150.55,158.18,143.66,144.2
2025-04-11,141.01,144.95,135.09,141.37
2025-04-17,143.37,143.46,138.165,139.68
2025-04-25,139.51,145.17,135.4,143.67
2025-05-02,143.68,147.93,141.255,145.51
2025-05-09,145.88,147.14,141.92,143.5
2025-05-16,143.72,144.675,141.18,144.44
2025-05-23,144.08,146.4,140.885,141.82
2025-05-30,142.37,142.63,139.704,141.02
2025-06-06,139.98,143.08,138.51,141.91
2025-06-13,141.24,142.55,139.29,141.08
2025-06-20,141.08,141.955,135.05,136.14
2025-06-27,137.15,146.37,135.66,145.49
2025-07-03,144.94,148.24,143.37,147.08
2025-07-11,147.41,150.295,145.45,146.87
2025-07-18,147.54,148.015,142.07,146.04
2025-07-25,147.1,147.13,141.97,143.78
2025-08-01,142.92,144.45,140.565,142.44
2025-08-08,142.16,144.84,136.14,138.36
2025-08-15,138.58,146.19,137.38,145.26
2025-08-22,145.27,150.15,144.48,144.95
2025-08-29,145.27,145.76,141.06,144.05
2025-09-05,143.06,143.97,140.14,142.37
2025-09-12,141.79,148.32,141.02,147.28
2025-09-19,147.59,148.11,142.59,143.45
2025-09-26,143.41,150.605,143.28,150.49
2025-10-03,151.3,152.84,147.62,148.48
2025-10-10,147.88,148.46,139.08,139.41
2025-10-17,138.86,144.03,137.08,143.04
2025-10-24,143.32,147.32,140.93,141.15
2025-10-31,141.4,142.17,135.12,136.0
2025-11-07,136.0,152.06,135.29,146.91
2025-11-14,145.95,148.89,145.11,146.81
2025-11-21,146.79,151.18,145.61,150.77
2025-11-28,150.9,153.017,148.37,151.0
2025-12-05,150.96,151.22,143.41,143.46
2025-12-12,143.28,149.67,140.37,149.56
2025-12-19,149.5,156.28,149.17,152.25
2025-12-26,152.24,154.94,151.26,151.74
2026-01-02,151.37,151.68,148.15,148.99
2026-01-09,148.01,154.4,146.735,154.02
2026-01-16,154.075,159.56,153.17,158.76
2026-01-23,158.07,158.16,150.94,151.47
2026-01-30,151.67,155.88,150.1,154.0
2026-02-06,154.44,162.1,152.82,161.43
2026-02-13,160.27,163.82,155.74,159.07
2026-02-20,159.66,162.9,157.95,162.58
2026-02-27,162.69,168.64,162.69,167.41
2026-03-06,166.48,166.48,155.25,159.25
2026-03-13,158.12,160.565,154.25,159.65
2026-03-20,160.85,164.52,154.74,155.66
2026-03-27,158.97,161.01,152.375,153.21
2026-04-02,154.44,156.44,151.16,155.34
2026-04-10,154.26,161.05,154.21,161.01
2026-04-17,161.02,162.57,157.615,162.04
2026-04-24,162.92,163.41,158.05,159.53
2026-05-01,158.25,162.79,153.905,157.61
2026-05-08,156.53,158.41,150.96,151.2
2026-05-15,150.92,153.49,148.64,149.22
2026-05-22,149.7,154.875,149.51,154.4
2026-05-29,154.12,154.95,147.335,147.95
2026-06-05,147.56,151.41,145.44,150.87
2026-06-12,149.75,155.1,146.605,154.31
2026-06-18,154.22,160.24,151.202,151.99
2026-06-26,150.5,156.87,149.51,156.41
2026-07-02,156.84,164.95,154.969,164.73
2026-07-10,164.5,170.14,158.25,163.54
2026-07-17,163.46,164.97,147.67,147.92
2026-07-22,148.98,150.09,144.64,147.57
