日期,Open,High,Low,Close
2015-06-30,96.864,97.252,95.166,95.631
2015-07-31,96.378,97.688,90.257,90.626
2015-08-31,91.014,97.164,81.565,90.131
2015-09-30,89.345,90.558,78.082,81.002
2015-10-30,80.895,92.566,75.996,91.324
2015-11-30,91.528,95.612,87.395,87.871
2015-12-31,88.841,90.306,85.028,89.617
2016-01-29,88.191,92.236,82.108,86.386
2016-02-29,85.436,86.871,75.725,84.009
2016-03-31,84.194,94.332,82.68,93.769
2016-04-29,93.458,104.576,92.702,102.636
2016-05-31,102.636,110.067,100.666,108.786
2016-06-30,108.893,109.562,101.84,107.341
2016-07-29,107.583,117.964,106.216,117.779
2016-08-31,117.517,119.768,113.588,116.295
2016-09-30,116.188,117.818,109.756,116.926
2016-10-31,116.421,120.02,91.615,93.041
2016-11-30,94.157,94.593,83.563,89.607
2016-12-30,89.539,94.574,86.939,91.14
2017-01-31,91.79,107.836,90.548,105.818
2017-02-28,106.283,106.71,102.907,104.605
2017-03-31,105.071,110.494,103.761,109.718
2017-04-28,109.592,112.929,102.82,107.331
2017-05-31,107.37,110.697,103.548,106.904
2017-06-30,107.36,117.799,107.001,116.053
2017-07-31,116.644,120.99,108.942,109.184
2017-08-31,109.446,109.659,98.29,102.345
2017-09-29,102.539,105.469,101.016,105.313
2017-10-31,105.536,112.744,104.12,109.708
2017-11-30,100.288,105.924,96.524,105.323
2017-12-29,105.556,112.182,101.006,109.019
2018-01-31,109.339,117.43,108.912,115.276
2018-02-28,114.529,116.829,101.549,104.731
2018-03-29,104.489,110.018,96.068,97.969
2018-04-30,97.824,106.351,93.352,103.916
2018-05-31,103.975,106.875,97.436,100.366
2018-06-29,101.025,104.324,98.416,100.531
2018-07-31,99.609,116.964,99.114,114.19
2018-08-31,113.918,116.023,109.776,112.356
2018-09-28,112.677,122.95,109.32,120.195
2018-10-31,120.525,121.0,101.704,102.849
2018-11-30,103.101,108.573,100.007,106.177
2018-12-31,106.739,107.38,86.745,93.507
2019-01-31,92.731,99.396,88.54,99.172
2019-02-28,104.702,114.335,103.082,113.297
2019-03-29,114.073,118.575,109.378,117.003
2019-04-30,117.731,118.953,107.612,112.599
2019-05-31,112.531,115.005,100.967,103.645
2019-06-28,103.829,113.094,103.16,107.574
2019-07-31,108.602,125.987,106.109,124.444
2019-08-30,124.512,129.683,122.436,128.392
2019-09-30,127.384,132.632,123.387,126.753
2019-10-31,126.84,128.577,119.962,127.684
2019-11-29,128.878,136.697,125.579,134.524
2019-12-31,134.805,140.956,131.992,139.025
2020-01-31,139.316,141.693,134.514,137.298
2020-02-28,138.152,150.113,122.368,125.899
2020-03-31,126.51,132.011,65.965,92.11
2020-04-30,88.2,113.472,79.421,110.174
2020-05-29,108.136,120.534,99.58,116.615
2020-06-30,116.266,129.314,102.704,110.077
2020-07-31,110.503,129.954,105.895,125.113
2020-08-31,125.734,132.244,119.943,130.954
2020-09-30,130.274,137.783,119.574,126.588
2020-10-30,127.558,140.121,120.68,122.669
2020-11-30,124.386,154.731,121.446,139.18
2020-12-31,140.509,144.885,131.439,144.235
2021-01-29,145.767,155.721,141.043,143.827
2021-02-26,144.991,159.718,142.44,152.937
2021-03-31,154.838,156.235,144.249,150.278
2021-04-30,150.278,169.952,148.61,166.848
2021-05-28,168.148,168.4,153.184,158.282
