日期,Open,High,Low,Close
2023-07-24,139.57,140.21,137.57,137.99
2023-07-25,137.59,137.885,136.43,137.42
2023-07-26,136.89,139.382,136.58,138.94
2023-07-27,139.56,139.66,136.97,136.98
2023-07-28,137.57,137.89,135.63,136.46
2023-07-31,136.43,136.43,134.795,135.27
2023-08-01,128.2,131.12,127.33,129.39
2023-08-02,128.9,129.09,124.86,125.5
2023-08-03,124.77,124.77,122.705,122.91
2023-08-04,123.08,125.28,122.925,123.44
2023-08-07,123.89,124.39,122.53,122.75
2023-08-08,122.12,122.369,120.31,121.98
2023-08-09,122.28,124.54,122.09,122.33
2023-08-10,122.76,123.61,121.93,121.97
2023-08-11,121.72,122.32,120.91,121.05
2023-08-14,121.12,121.87,120.725,120.83
2023-08-15,120.29,121.06,119.38,119.64
2023-08-16,119.19,119.94,118.03,118.1
2023-08-17,118.47,118.671,116.53,116.56
2023-08-18,116.21,116.71,115.29,116.3
2023-08-21,116.56,117.66,116.14,117.47
2023-08-22,114.52,115.225,111.87,112.87
2023-08-23,113.67,113.93,111.5,111.97
2023-08-24,112.01,112.45,111.11,111.44
2023-08-25,111.7,112.9,111.28,112.36
2023-08-28,116.12,116.418,113.16,114.65
2023-08-29,115.05,116.54,114.26,116.35
2023-08-30,116.42,118.0,115.85,117.36
2023-08-31,117.75,118.21,116.24,116.24
2023-09-01,116.73,116.915,115.23,116.57
2023-09-05,116.68,117.16,114.92,114.93
2023-09-06,114.89,120.78,114.62,119.79
2023-09-07,120.89,120.89,117.15,117.63
2023-09-08,117.49,118.69,116.94,117.77
2023-09-11,118.34,120.47,118.148,119.56
2023-09-12,119.54,120.1,118.43,118.55
2023-09-13,118.4,118.95,117.62,117.75
2023-09-14,118.04,119.13,117.54,118.74
2023-09-15,118.51,120.19,117.945,118.43
2023-09-18,118.43,120.13,118.34,119.15
2023-09-19,119.12,119.47,117.9,118.73
2023-09-20,119.47,119.56,117.28,117.43
2023-09-21,117.0,117.02,114.89,114.92
2023-09-22,114.39,114.755,113.49,113.97
2023-09-25,113.9,114.735,113.625,114.47
2023-09-26,113.89,114.23,109.54,109.58
2023-09-27,109.74,109.92,105.64,107.88
2023-09-28,108.36,111.7,108.32,109.82
2023-09-29,110.52,111.51,109.13,109.58
2023-10-02,108.71,109.29,108.21,108.78
2023-10-03,108.02,108.65,105.99,107.68
2023-10-04,107.94,108.35,105.46,107.05
2023-10-05,107.4,107.71,105.56,106.66
2023-10-06,106.11,109.06,105.56,108.27
2023-10-09,107.63,108.495,107.157,108.05
2023-10-10,108.02,110.31,107.58,109.55
2023-10-11,108.38,108.38,101.52,102.71
2023-10-12,102.71,103.42,99.41,100.08
2023-10-13,99.69,102.13,99.36,101.66
2023-10-16,102.44,102.79,101.04,102.41
2023-10-17,101.73,105.38,101.45,103.95
2023-10-18,103.95,105.46,102.95,103.55
2023-10-19,103.3,104.645,102.08,102.17
2023-10-20,101.42,102.98,101.06,101.92
2023-10-23,101.89,103.68,101.89,102.52
2023-10-24,102.31,102.893,101.527,102.2
2023-10-25,102.06,102.11,100.58,101.0
2023-10-26,100.88,101.74,100.34,100.48
2023-10-27,101.36,102.17,100.07,100.55
2023-10-30,101.12,101.46,99.69,100.77
2023-10-31,101.36,102.53,100.85,101.77
2023-11-01,101.88,102.57,100.87,102.43
2023-11-02,103.22,108.18,103.12,107.56
2023-11-03,108.05,108.67,105.14,106.11
2023-11-06,105.87,106.8,105.16,106.66
2023-11-07,103.5,105.75,101.98,103.29
2023-11-08,103.32,103.84,101.33,102.22
2023-11-09,102.71,102.95,100.79,101.48
2023-11-10,101.93,103.14,100.09,102.78
2023-11-13,103.91,105.875,103.1,103.18
2023-11-14,104.8,106.515,104.48,105.43
2023-11-15,105.43,108.41,105.43,107.86
2023-11-16,108.12,109.344,107.69,108.91
2023-11-17,109.71,110.015,108.685,109.03
2023-11-20,108.98,110.01,108.7,109.86
2023-11-21,110.34,110.605,109.72,110.26
2023-11-22,111.18,112.16,110.56,111.19
2023-11-24,111.16,111.53,110.58,110.79
2023-11-27,110.44,111.387,110.2,111.2
2023-11-28,111.05,111.13,110.07,110.45
2023-11-29,110.86,112.32,110.63,111.28
2023-11-30,111.49,113.85,110.94,113.67
2023-12-01,114.67,115.52,113.26,115.33
2023-12-04,114.66,116.23,114.0,114.25
2023-12-05,113.72,113.72,112.0,113.18
2023-12-06,113.72,113.95,112.65,113.49
2023-12-07,113.92,114.95,112.95,114.65
2023-12-08,114.67,115.12,114.12,114.66
2023-12-11,114.53,115.633,114.32,115.34
2023-12-12,115.67,115.67,114.31,114.81
2023-12-13,114.7,115.51,113.86,115.26
2023-12-14,116.45,117.693,115.79,115.89
2023-12-15,115.36,116.34,114.665,116.05
2023-12-18,116.2,116.67,115.57,116.16
2023-12-19,116.07,117.38,115.87,117.33
2023-12-20,117.74,117.81,116.46,117.36
2023-12-21,117.93,118.52,116.445,117.01
2023-12-22,117.66,118.45,117.27,117.92
2023-12-26,117.82,119.52,117.8,119.02
2023-12-27,118.8,119.39,118.4,118.73
2023-12-28,118.53,119.68,118.5,119.23
2023-12-29,119.06,120.0,118.84,119.3
2024-01-02,118.62,120.0,118.32,118.99
2024-01-03,118.53,118.9,117.32,118.07
2024-01-04,117.5,118.48,117.0,117.8
2024-01-05,117.32,118.895,117.29,117.58
2024-01-08,118.23,120.38,118.115,119.57
2024-01-09,119.23,121.87,118.26,119.47
2024-01-10,119.3,121.27,119.22,120.83
2024-01-11,120.83,122.41,119.785,119.98
2024-01-12,121.29,122.35,119.95,120.67
2024-01-16,119.51,120.29,118.77,120.24
2024-01-17,119.63,120.18,118.76,119.83
2024-01-18,120.8,122.14,120.075,121.43
2024-01-19,121.52,121.65,119.62,120.96
2024-01-22,121.29,121.76,120.08,120.19
2024-01-23,121.87,122.6,118.03,118.68
2024-01-24,118.66,118.91,117.055,118.12
2024-01-25,117.58,119.56,117.58,119.56
2024-01-26,120.44,120.71,119.17,119.29
2024-01-29,118.85,120.53,118.54,120.52
2024-01-30,120.47,120.795,119.5,119.97
2024-01-31,121.62,125.054,121.62,123.2
2024-02-01,123.03,124.85,121.735,124.85
2024-02-02,124.51,125.0,123.2,123.92
2024-02-05,123.68,124.49,122.75,122.96
2024-02-06,122.85,125.22,122.85,125.2
2024-02-07,125.46,126.09,124.835,125.15
2024-02-08,118.27,122.128,116.73,120.64
2024-02-09,121.5,122.91,118.77,120.4
2024-02-12,120.51,123.62,120.435,123.45
2024-02-13,122.6,123.233,119.91,120.76
2024-02-14,121.02,121.78,119.19,119.44
2024-02-15,119.76,122.1,119.76,122.0
2024-02-16,121.75,123.56,121.62,122.31
2024-02-20,122.54,123.54,120.18,122.58
2024-02-21,122.69,126.453,122.01,125.95
2024-02-22,125.6,126.719,124.675,126.14
2024-02-23,126.23,127.115,125.68,126.78
2024-02-26,126.47,126.8,124.46,124.48
2024-02-27,124.22,124.662,123.68,123.97
2024-02-28,123.54,123.6,121.31,121.73
2024-02-29,121.82,122.44,120.495,121.96
2024-03-01,121.65,122.52,121.235,121.61
2024-03-04,121.36,124.065,120.09,123.11
2024-03-05,123.52,123.96,122.02,122.38
2024-03-06,122.62,124.407,122.43,123.43
2024-03-07,124.23,125.74,123.84,124.96
2024-03-08,124.58,125.75,124.0,124.34
2024-03-11,124.3,125.96,123.77,125.64
2024-03-12,125.22,126.02,124.72,125.81
2024-03-13,125.84,126.07,124.07,124.19
2024-03-14,123.86,124.54,122.645,123.33
2024-03-15,121.98,123.28,121.98,122.77
2024-03-18,122.87,123.91,122.7,123.56
2024-03-19,123.6,124.35,122.51,124.26
2024-03-20,123.84,124.95,123.48,124.13
2024-03-21,124.59,125.1,123.74,124.67
2024-03-22,124.87,125.25,123.48,124.8
2024-03-25,125.52,126.075,125.208,125.51
2024-03-26,125.97,126.213,125.45,125.47
2024-03-27,126.36,130.47,126.35,130.45
2024-03-28,130.77,131.74,129.44,129.82
2024-04-01,129.45,129.45,127.52,127.59
2024-04-02,127.09,127.14,125.41,126.31
2024-04-03,126.34,128.34,126.34,127.85
2024-04-04,128.73,128.73,125.27,125.4
2024-04-05,125.37,125.91,123.99,125.17
2024-04-08,125.15,125.47,124.425,124.53
2024-04-09,125.2,127.335,124.39,127.24
2024-04-10,125.65,125.78,124.23,125.56
2024-04-11,126.39,126.39,124.82,125.36
2024-04-12,124.24,124.94,121.545,122.32
2024-04-15,123.84,125.16,121.8,121.84
2024-04-16,121.8,122.16,119.24,119.91
2024-04-17,120.71,120.71,117.88,119.14
2024-04-18,119.29,119.29,116.465,117.17
2024-04-19,117.74,117.985,116.83,117.27
2024-04-22,118.1,119.25,117.02,118.62
2024-04-23,118.47,119.46,118.105,119.36
2024-04-24,119.39,120.255,118.85,119.01
2024-04-25,118.55,119.19,116.61,117.59
2024-04-26,117.33,117.78,116.5,117.19
2024-04-29,117.24,119.6,117.24,119.55
2024-04-30,118.77,119.25,118.1,118.12
2024-05-01,115.93,119.04,114.77,117.4
2024-05-02,119.83,121.8,115.435,116.3
2024-05-03,117.33,119.76,117.19,119.5
2024-05-06,119.84,120.09,117.42,118.4
2024-05-07,118.97,120.02,118.44,119.27
2024-05-08,118.96,119.125,117.84,118.69
2024-05-09,118.98,119.5,118.39,119.28
2024-05-10,119.23,120.06,118.825,119.15
2024-05-13,119.43,120.09,116.95,117.43
2024-05-14,117.79,118.35,116.17,117.81
2024-05-15,118.42,119.03,117.92,118.82
2024-05-16,118.91,120.01,118.54,119.07
2024-05-17,119.14,119.14,117.395,118.02
2024-05-20,117.89,117.931,116.78,116.89
2024-05-21,117.22,117.51,116.79,116.84
2024-05-22,116.95,117.97,116.65,117.17
2024-05-23,116.57,116.897,113.62,113.69
2024-05-24,113.86,114.37,113.275,114.25
2024-05-28,114.35,115.285,113.48,114.17
2024-05-29,113.04,114.7,112.45,112.98
2024-05-30,113.3,114.06,112.21,112.28
2024-05-31,112.21,113.03,111.591,112.99
2024-06-03,112.34,113.66,110.79,110.96
2024-06-04,110.85,112.355,110.59,111.28
2024-06-05,111.27,111.67,109.95,110.48
2024-06-06,110.34,111.698,109.91,111.21
2024-06-07,110.96,111.71,110.44,111.18
2024-06-10,110.67,111.09,109.28,110.72
2024-06-11,110.58,110.58,104.01,107.07
2024-06-12,108.16,108.84,104.64,105.29
2024-06-13,104.84,105.54,104.01,104.81
2024-06-14,104.52,105.14,103.85,105.03
2024-06-17,103.96,105.0,103.96,104.87
2024-06-18,104.89,105.29,103.75,104.53
2024-06-20,103.41,104.65,103.22,104.09
