Date,Open,High,Low,Close
2021-09-01,534.0,548.5,487.75,536.75
2021-10-01,536.75,569.25,506.75,568.25
2021-11-01,568.0,589.0,547.75,567.0
2021-12-01,568.0,617.75,567.0,593.25
2022-01-01,599.0,642.5,584.75,626.0
2022-02-01,626.0,718.75,610.25,697.5
2022-03-01,699.75,800.0,699.75,748.75
2022-04-01,748.5,827.0,730.25,818.25
2022-06-01,753.75,800.0,720.5,743.75
2022-07-01,748.0,800.0,561.5,616.25
2022-08-01,619.75,684.25,583.0,673.75
2022-09-01,671.0,725.0,655.0,677.5
2022-10-01,680.0,706.5,671.5,691.5
2022-11-01,689.0,698.5,651.25,662.0
2022-12-01,661.75,685.0,623.0,678.5
2023-02-01,679.25,688.25,629.25,629.5
2023-03-01,630.0,664.5,618.25,660.5
2023-04-01,659.5,682.5,621.75,636.0
2023-05-01,632.5,658.5,547.0,594.0
2023-06-01,594.0,672.5,552.0,554.5
2023-07-01,558.5,614.75,495.25,504.0
2023-08-01,504.0,512.25,459.0,461.0
2023-09-01,461.0,490.0,455.75,476.75
2023-11-01,478.75,481.25,447.0,461.75
2023-12-01,460.25,484.0,455.0,471.25
2024-01-01,470.5,470.75,436.5,448.25
2024-02-01,448.0,448.75,394.5,415.75
2024-03-01,415.5,448.0,409.25,442.0
2024-04-01,441.75,444.5,424.5,439.5
2024-05-01,440.0,473.25,437.25,446.25
2024-06-01,445.75,460.5,390.5,397.25
2024-07-01,397.25,412.0,381.0,382.75
2024-08-01,382.5,393.0,360.5,378.0
2024-10-01,423.5,434.25,399.0,410.75
2024-11-01,410.75,434.75,410.5,423.0
2025-01-01,457.25,497.5,449.25,482.0
2025-02-01,476.75,504.5,453.0,453.5
2025-03-01,455.25,470.25,426.5,457.25
2025-04-01,457.75,490.75,447.5,467.25
2025-05-01,467.25,472.25,430.75,444.0
2025-07-01,421.25,435.25,387.75,394.0
2025-08-01,394.0,398.5,368.75,398.0
2025-09-01,396.25,431.25,393.5,415.5
2025-10-01,415.75,437.0,409.25,431.5
2025-11-01,431.0,442.75,422.25,435.5
2025-12-01,434.5,453.0,428.25,440.25
2026-01-01,440.75,448.75,417.25,428.25
2026-04-01,457.5,469.0,438.0,464.75
2026-05-01,462.75,481.75,445.0,446.75
2026-06-01,446.0,449.25,398.5,412.75
2026-07-01,413.75,485.5,412.25,485.25
