Date,Open,High,Low,Close
2021-07-19,708.25,709.0,677.5,684.0
2021-07-26,684.0,711.5,665.5,703.75
2021-08-02,704.0,738.75,704.0,719.0
2021-08-09,719.0,774.75,708.25,762.25
2021-08-16,762.5,770.25,709.25,714.25
2021-08-23,712.75,731.25,704.25,718.5
2021-08-30,720.5,728.5,690.25,714.5
2021-09-06,718.5,718.5,673.25,675.0
2021-09-13,671.5,716.75,671.5,708.75
2021-09-20,708.0,725.75,686.0,723.75
2021-09-27,723.5,758.5,701.25,755.25
2021-10-04,752.25,763.5,731.75,734.0
2021-10-11,734.0,743.75,712.75,734.0
2021-10-18,734.0,759.5,728.5,756.0
2021-10-25,759.75,780.0,745.0,772.75
2021-11-01,774.5,807.0,765.5,766.5
2021-11-08,768.25,826.75,762.5,817.0
2021-11-15,819.75,843.25,810.0,823.0
2021-11-22,827.5,863.25,810.0,825.5
2021-11-29,837.75,840.5,770.5,794.5
2021-12-06,799.75,812.0,769.0,782.0
2021-12-13,779.25,791.0,751.0,775.0
2021-12-20,777.5,820.5,757.75,814.75
2021-12-27,817.5,824.0,769.5,770.75
2022-01-03,774.0,782.25,735.5,758.5
2022-01-10,760.75,770.5,737.0,741.5
2022-01-17,742.25,802.75,741.25,780.0
2022-01-24,794.0,831.5,774.0,786.25
2022-01-31,793.0,798.5,740.0,763.25
2022-02-07,776.0,806.25,754.0,797.75
2022-02-14,801.5,813.5,773.0,797.0
2022-02-21,815.0,951.25,803.0,843.0
2022-02-28,920.25,1348.0,885.5,1348.0
2022-03-07,1311.25,1425.25,1030.75,1090.0
2022-03-14,1090.0,1160.75,1031.75,1063.75
2022-03-21,1075.0,1169.25,1061.75,1102.25
2022-03-28,1092.75,1096.0,972.0,984.5
2022-04-04,989.5,1074.0,984.75,1051.5
2022-04-11,1056.0,1127.5,1055.0,1096.5
2022-04-18,1099.25,1135.0,1052.5,1065.5
2022-04-25,1065.75,1096.0,1043.75,1043.75
2022-05-02,1037.5,1098.5,1029.25,1097.0
2022-05-09,1084.0,1174.5,1081.5,1167.25
2022-05-16,1234.25,1284.0,1168.0,1168.75
2022-05-23,1181.75,1208.75,1114.5,1157.5
2022-05-30,1157.0,1157.25,1027.25,1040.0
2022-06-06,1060.0,1108.75,1044.25,1070.75
2022-06-13,1073.0,1093.5,1030.25,1034.25
2022-06-20,1032.0,1033.25,921.75,923.75
2022-06-27,922.0,940.0,831.25,831.25
2022-07-04,829.0,879.25,779.0,879.25
2022-07-11,888.0,888.0,765.75,776.75
2022-07-18,787.25,843.5,754.0,759.0
2022-07-25,787.0,845.75,760.5,807.75
2022-08-01,812.75,820.25,752.0,775.75
2022-08-08,776.5,820.75,760.75,806.0
2022-08-15,802.0,810.5,725.75,753.25
2022-08-22,754.0,803.5,744.5,784.75
2022-08-29,785.75,827.0,773.0,793.0
2022-09-05,795.5,855.0,794.25,853.25
2022-09-12,852.5,884.75,830.75,859.75
2022-09-19,857.25,922.5,819.25,880.5
2022-09-26,877.0,945.75,854.25,921.5
2022-10-03,930.0,938.75,872.5,880.25
2022-10-10,895.25,949.75,857.25,859.75
2022-10-17,860.0,877.75,832.75,850.75
2022-10-24,853.75,858.0,822.5,829.25
2022-10-31,884.5,904.0,827.75,847.75
2022-11-07,851.0,863.75,795.5,813.75
2022-11-14,813.0,843.0,793.75,803.25
2022-11-21,805.25,808.75,771.0,775.5
2022-11-28,771.25,774.25,737.25,737.25
2022-12-05,730.5,730.5,702.5,712.75
2022-12-12,733.0,767.0,728.25,753.5
2022-12-19,755.0,778.0,738.75,776.0
2022-12-26,781.25,799.0,765.5,792.0
2023-01-02,786.0,794.5,736.0,743.5
2023-01-09,748.0,758.0,720.5,743.75
2023-01-16,742.5,760.25,727.75,741.5
2023-01-23,738.0,758.0,712.5,750.0
2023-01-30,753.0,776.5,742.0,756.75
2023-02-06,758.0,790.0,744.25,786.0
2023-02-13,789.0,797.5,759.5,765.5
2023-02-20,765.75,773.25,703.0,708.25
2023-02-27,708.25,710.0,687.0,695.75
2023-03-06,690.75,692.25,653.5,666.75
2023-03-13,660.5,712.5,660.5,710.5
2023-03-20,708.5,708.5,654.0,688.5
2023-03-27,691.0,724.0,680.25,692.25
2023-04-03,697.0,710.0,671.25,675.5
2023-04-10,684.5,687.5,661.25,682.5
2023-04-17,686.25,707.0,658.0,661.75
2023-04-24,669.25,669.5,610.25,619.75
2023-05-01,620.0,647.0,595.5,647.0
2023-05-08,647.5,647.5,614.25,624.5
2023-05-15,635.0,664.25,602.0,605.0
2023-05-22,607.75,624.75,594.25,616.0
2023-05-29,616.75,622.5,573.25,619.0
2023-06-05,621.5,648.0,611.25,630.25
2023-06-12,629.75,697.0,622.25,688.0
2023-06-19,687.0,747.0,676.25,733.25
2023-06-26,734.25,756.75,634.25,636.25
2023-07-03,630.0,662.0,628.25,639.5
2023-07-10,641.75,650.0,614.25,641.5
2023-07-17,666.0,750.75,642.25,697.5
2023-07-24,702.0,777.25,689.0,704.25
2023-07-31,702.5,703.0,626.25,633.0
2023-08-07,646.0,663.75,624.25,626.75
2023-08-14,632.75,635.0,586.25,613.25
2023-08-21,618.0,620.75,587.5,593.25
2023-08-28,593.5,599.25,564.5,567.5
2023-09-04,569.25,587.0,567.0,567.25
2023-09-11,561.5,607.5,548.0,604.25
2023-09-18,604.0,604.25,572.75,579.5
2023-09-25,577.0,596.75,540.0,541.5
2023-10-02,545.0,580.25,541.25,568.25
2023-10-09,573.25,586.25,547.25,579.75
2023-10-16,580.0,604.5,568.5,586.0
2023-10-23,586.5,595.25,563.25,575.5
2023-10-30,576.0,577.0,554.5,572.5
2023-11-06,573.0,598.75,564.5,575.25
2023-11-13,575.0,585.0,547.0,550.75
2023-11-20,550.75,563.5,541.0,548.75
2023-11-27,550.0,577.5,527.5,577.0
2023-12-04,583.0,634.0,583.0,615.0
2023-12-11,591.25,630.0,585.25,629.25
2023-12-18,629.75,632.0,609.0,616.25
2023-12-25,615.0,639.75,611.5,628.0
2024-01-01,628.75,628.75,591.25,616.0
2024-01-08,617.0,617.25,587.25,596.0
2024-01-15,596.0,602.25,573.25,593.25
2024-01-22,593.5,617.25,587.0,600.25
2024-01-29,601.25,611.5,584.5,599.75
2024-02-05,600.0,606.75,583.75,596.75
2024-02-12,596.25,603.5,556.75,560.5
2024-02-19,558.5,600.0,555.25,573.5
2024-02-26,573.5,591.75,558.25,560.0
2024-03-04,564.0,564.0,519.75,526.75
2024-03-11,526.75,544.75,519.5,528.5
2024-03-18,531.25,559.25,527.0,554.75
2024-03-25,559.0,568.5,538.5,560.25
2024-04-01,562.0,574.75,540.25,567.25
2024-04-08,570.25,573.75,548.25,556.0
2024-04-15,555.25,558.75,534.25,550.25
2024-04-22,549.0,614.5,548.75,603.25
2024-04-29,595.75,606.0,577.75,606.0
2024-05-06,627.5,647.0,616.0,645.75
2024-05-13,648.0,697.0,645.75,651.25
2024-05-20,654.0,716.75,654.0,697.25
2024-05-27,713.0,720.0,673.25,678.5
2024-06-03,678.0,697.75,618.25,627.5
2024-06-10,626.0,633.0,605.5,612.75
2024-06-17,607.75,610.25,557.75,561.5
2024-06-24,562.0,565.0,538.0,553.5
2024-07-01,556.5,573.0,552.75,572.25
2024-07-08,552.25,561.25,538.0,538.0
2024-07-15,551.0,556.25,525.25,542.75
2024-07-22,545.25,555.5,522.0,523.5
2024-07-29,523.5,540.5,514.25,539.0
2024-08-05,540.25,552.0,519.75,542.5
2024-08-12,542.75,547.75,523.25,530.0
2024-08-19,530.5,536.5,501.25,502.25
2024-08-26,505.25,534.75,493.5,532.75
2024-09-02,531.5,568.75,530.5,553.25
2024-09-09,555.5,571.25,554.75,571.25
2024-09-16,594.75,596.0,564.0,568.5
2024-09-23,570.5,596.25,569.0,580.0
2024-09-30,579.75,617.25,575.5,589.75
2024-10-07,590.25,611.25,584.0,599.0
2024-10-14,598.5,601.0,570.25,572.75
2024-10-21,572.75,585.5,565.75,569.0
2024-10-28,564.25,580.5,557.75,568.0
2024-11-04,569.0,579.5,562.0,572.5
2024-11-11,572.75,572.75,528.0,536.5
2024-11-18,541.0,558.75,536.75,544.25
2024-11-25,544.75,547.5,529.5,532.25
2024-12-02,536.25,546.75,531.25,542.5
2024-12-09,541.25,552.5,526.5,526.5
2024-12-16,552.25,559.25,529.25,533.0
2024-12-23,533.0,547.75,533.0,546.5
2024-12-30,547.25,554.75,527.5,529.25
2025-01-06,530.25,544.75,526.0,530.75
2025-01-13,530.5,552.25,528.5,538.75
2025-01-20,542.0,566.75,541.25,544.0
2025-01-27,543.0,569.75,532.0,559.5
2025-02-03,555.0,592.5,550.5,582.75
2025-02-10,581.25,602.75,571.5,600.0
2025-02-17,598.25,609.0,583.5,590.0
2025-02-24,589.5,589.5,537.0,537.0
2025-03-03,545.5,545.75,515.5,533.75
2025-03-10,548.25,551.25,534.0,545.75
2025-03-17,559.0,575.25,552.25,558.25
2025-03-24,561.25,563.0,517.5,528.25
2025-03-31,529.5,544.0,520.5,529.0
2025-04-07,530.75,556.75,525.75,555.75
2025-04-14,553.0,555.75,537.0,548.75
2025-04-21,549.25,552.75,524.25,530.0
2025-04-28,529.0,530.75,505.0,526.5
2025-05-05,525.25,525.25,505.5,505.5
2025-05-12,499.0,533.5,499.0,525.0
2025-05-19,527.0,556.25,524.5,542.5
2025-05-26,543.5,544.0,526.75,534.0
2025-06-02,534.0,555.75,531.75,554.75
2025-06-09,556.0,557.75,522.25,543.75
2025-06-16,545.0,578.25,531.75,567.75
2025-06-23,567.0,570.0,520.5,524.75
2025-06-30,530.0,558.0,523.5,547.75
2025-07-07,538.5,550.5,538.0,540.75
