日期,Open,High,Low,Close
2015-08-31,26.58,27.09,23.0,24.66
2015-09-30,24.05,28.54,24.01,27.04
2015-10-30,27.03,33.62,25.67,27.69
2015-11-30,27.75,30.25,23.11,24.65
2015-12-31,24.51,25.59,22.8,23.48
2016-01-29,23.08,23.33,18.85,20.5
2016-02-29,20.47,22.14,15.36,21.6
2016-03-31,22.27,24.64,21.08,23.73
2016-04-29,23.95,26.27,19.63,24.04
2016-05-31,24.04,29.7,23.42,28.68
2016-06-30,28.36,36.28,27.76,36.28
2016-07-29,36.03,39.59,34.51,39.25
2016-08-31,39.38,39.88,32.88,33.85
2016-09-30,33.72,36.51,32.65,34.65
2016-10-31,34.36,35.08,31.22,33.36
2016-11-30,33.31,37.54,32.18,35.92
2016-12-30,35.84,39.05,33.43,36.47
2017-01-31,36.25,37.73,35.02,35.38
2017-02-28,35.39,38.05,32.9,33.94
2017-03-31,34.12,36.97,32.56,33.67
2017-04-28,33.59,40.29,33.3,39.0
2017-05-31,39.4,44.49,38.93,43.52
2017-06-30,43.75,51.23,43.1,49.01
2017-07-31,49.36,49.36,43.39,45.16
2017-08-31,45.6,48.73,37.69,39.62
2017-09-29,39.82,40.98,37.68,40.21
2017-10-31,40.21,42.98,39.9,41.28
2017-11-30,41.46,42.86,38.63,41.04
2017-12-29,40.93,43.43,39.78,40.92
2018-01-31,41.31,46.31,40.89,44.46
2018-02-28,44.11,48.49,42.42,47.67
2018-03-29,47.53,59.99,47.13,53.8
2018-04-30,53.55,54.39,46.25,48.49
2018-05-31,48.49,59.4,48.49,58.33
2018-06-29,59.89,65.7,57.05,59.06
2018-07-31,58.15,63.86,54.75,55.7
2018-08-31,56.1,58.75,45.51,48.65
2018-09-28,48.55,48.9,41.75,44.25
2018-10-31,44.33,44.56,36.52,40.26
2018-11-30,40.15,42.85,26.38,36.55
2018-12-31,37.55,38.0,27.71,31.58
2019-01-31,30.89,35.31,29.26,35.09
2019-02-28,35.12,45.29,32.66,41.8
2019-03-29,41.99,42.31,33.81,34.74
2019-04-30,35.04,38.94,32.85,33.4
2019-05-31,33.55,44.09,31.75,43.02
2019-06-28,42.72,48.67,41.63,46.39
2019-07-31,46.95,51.47,45.56,49.96
2019-08-30,50.0,50.86,32.01,34.43
2019-09-30,33.89,34.32,29.13,29.82
2019-10-31,29.92,35.31,28.47,32.57
2019-11-29,32.83,41.36,32.62,39.15
2019-12-31,39.24,46.26,38.29,45.94
2020-01-31,46.26,49.02,44.07,46.21
2020-02-28,46.56,66.68,45.98,55.81
2020-03-31,55.84,56.29,20.04,36.02
2020-04-30,33.74,46.04,29.42,43.96
2020-05-29,41.25,60.7,40.81,57.99
2020-06-30,57.87,65.75,54.31,57.61
2020-07-31,57.7,71.0,56.31,68.39
2020-08-31,69.26,88.01,67.02,85.76
2020-09-30,85.9,104.05,79.08,101.59
2020-10-30,103.52,112.49,85.24,88.62
2020-11-30,88.63,119.47,87.16,107.81
2020-12-31,108.58,144.3,104.05,129.8
2021-01-29,131.15,153.0,125.24,130.46
2021-02-26,131.26,208.11,129.69,161.33
2021-03-31,165.27,170.19,116.51,129.64
2021-04-30,134.65,147.86,126.18,130.12
2021-05-28,130.15,131.4,103.67,117.32
2021-06-30,119.0,124.7,107.05,122.22
2021-07-30,122.0,124.25,99.751,106.26
2021-08-31,107.35,111.67,89.65,95.77
2021-09-30,96.5,100.47,85.39,88.14
2021-10-29,88.54,104.05,83.93,103.63
2021-11-30,102.835,103.15,52.57,54.27
2021-12-31,54.865,65.59,52.95,63.85
2022-01-31,64.48,64.75,44.797,50.48
2022-02-28,51.0,65.88,46.55,57.52
2022-03-31,57.2,58.96,45.34,49.29
2022-04-29,49.52,54.29,38.75,39.82
2022-05-31,39.1,46.04,34.45,39.9
2022-06-30,39.92,42.44,28.61,31.75
2022-07-29,32.04,38.245,31.9,34.88
2022-08-31,34.52,40.29,32.525,33.46
2022-09-30,33.0,38.399,28.42,28.61
2022-10-31,28.94,31.98,26.142,30.86
2022-11-30,31.63,38.9,28.07,37.98
2022-12-30,37.92,39.38,31.1,32.21
2023-01-31,32.85,45.2,32.43,44.21
2023-02-28,44.0,49.32,40.32,42.0
2023-03-31,41.975,44.54,38.128,44.47
2023-04-28,43.81,46.5,41.56,43.54
2023-05-31,44.19,49.07,42.3,45.61
2023-06-30,45.35,53.23,44.45,50.26
2023-07-31,50.45,55.2,47.02,54.16
2023-08-31,53.45,57.19,49.03,52.16
2023-09-29,52.5,53.33,44.892,46.16
2023-10-31,46.14,46.43,35.0,36.25
2023-11-30,36.06,43.94,33.8,40.94
2023-12-29,40.87,59.86,40.85,57.86
2024-01-31,56.9,59.4,50.6,56.84
2024-02-29,57.36,61.13,52.6,56.15
2024-03-28,56.25,58.68,45.16,48.78
2024-04-30,48.93,49.95,41.2,42.57
2024-05-31,42.59,46.05,38.45,40.95
2024-06-28,41.16,49.55,40.61,46.39
2024-07-31,46.27,54.275,44.62,48.7
2024-08-30,49.5,58.29,41.67,55.3
2024-09-30,54.87,68.73,52.86,63.85
2024-10-31,64.11,65.295,57.001,60.09
2024-11-29,60.51,86.88,57.51,84.71
2024-12-31,84.51,84.9,73.85,74.05
2025-01-31,74.71,85.0,69.02,82.22
2025-02-28,81.8,89.39,71.6,76.66
2025-03-31,76.88,78.04,66.125,68.56
2025-04-30,68.66,71.92,57.51,67.33
2025-05-30,67.78,71.88,64.19,67.11
2025-06-30,66.33,73.21,65.41,70.05
2025-07-31,69.97,82.11,69.14,79.55
2025-08-29,79.17,89.12,77.93,84.31
2025-09-30,82.5,93.88,74.47,77.05
2025-10-31,76.97,79.4,69.0,74.98
2025-11-28,74.41,76.8,66.86,74.38
2025-12-31,73.29,77.07,65.07,68.22
2026-01-30,68.55,72.53,62.66,63.03
2026-02-27,63.03,64.25,41.91,44.62
2026-03-31,43.1,49.125,40.06,41.38
2026-04-30,41.75,48.44,39.05,44.4
2026-05-29,44.84,46.22,34.7,35.0
2026-06-30,35.37,37.24,29.23,31.52
2026-07-22,32.04,34.46,31.105,31.36
