Date,Open,High,Low,Close
2021-07-19,65832.0,65842.0,64773.0,64841.0
2021-07-26,64841.0,67595.0,64841.0,66005.0
2021-08-02,66005.0,66621.0,64531.0,65861.0
2021-08-09,65861.0,69719.0,65601.0,69545.0
2021-08-16,69545.0,69545.0,65601.0,67822.0
2021-08-23,67822.0,73998.0,67822.0,73204.0
2021-08-30,73204.0,77562.0,73204.0,74735.0
2021-09-06,74735.0,79311.0,74594.0,75895.0
2021-09-13,75895.0,83923.0,75895.0,78512.0
2021-09-20,78512.0,78512.0,73488.0,74180.0
2021-09-27,74180.0,77905.0,74180.0,77626.0
2021-10-04,77626.0,78541.0,76757.0,77553.0
2021-10-11,77554.0,82264.0,77101.0,81990.0
2021-10-18,81990.0,87158.0,81819.0,86899.0
2021-10-25,86899.0,90577.0,83296.0,83561.0
2021-11-01,83561.0,93014.0,83561.0,92896.0
2021-11-08,92896.0,97024.0,92491.0,94963.0
2021-11-15,94963.0,96599.0,85437.0,85695.0
2021-11-22,85695.0,85695.0,79417.0,80369.0
2021-11-29,80369.0,88899.0,77707.0,86360.0
2021-12-06,86360.0,89837.0,85241.0,85441.0
2021-12-13,85441.0,85600.0,80533.0,83234.0
2021-12-20,83234.0,85572.0,81241.0,84850.0
2021-12-27,84850.0,85755.0,82224.0,83500.0
2022-01-03,83500.0,86356.0,82672.0,84402.0
2022-01-10,84402.0,86744.0,83352.0,85481.0
2022-01-17,85481.0,85674.0,83158.0,83623.0
2022-01-24,83623.0,90227.0,80403.0,88270.0
2022-01-31,88270.0,92732.0,87226.0,87934.0
2022-02-07,87934.0,89905.0,86994.0,88185.0
2022-02-14,88185.0,91286.0,87322.0,89443.0
2022-02-21,89443.0,91764.0,87312.0,87970.0
2022-02-28,87970.0,91989.0,87970.0,89515.0
2022-03-07,89515.0,91466.0,87003.0,88999.0
2022-03-14,88999.0,90694.0,83570.0,89058.0
2022-03-21,89058.0,93313.0,89033.0,93010.0
2022-03-28,93010.0,93059.0,89875.0,92391.0
2022-04-04,92391.0,94374.0,89848.0,92092.0
2022-04-11,92092.0,92246.0,89925.0,91041.0
2022-04-18,91041.0,93141.0,90939.0,91717.0
2022-04-25,91792.0,91792.0,88176.0,88251.0
2022-05-02,88251.0,89909.0,85156.0,86507.0
2022-05-09,86545.0,88975.0,81963.0,88796.0
2022-05-16,88796.0,91857.0,87331.0,88119.0
2022-05-23,88119.0,94319.0,87698.0,93683.0
2022-05-30,93683.0,94207.0,90608.0,91775.0
2022-06-06,91775.0,92580.0,87330.0,89141.0
2022-06-13,89143.0,89143.0,86565.0,87061.0
2022-06-20,87061.0,87504.0,81978.0,82606.0
2022-06-27,82606.0,90277.0,82374.0,90051.0
2022-07-04,90249.0,106470.0,87006.0,105850.0
2022-07-11,105852.0,105852.0,100027.0,104223.0
2022-07-18,104223.0,114070.0,104223.0,113851.0
2022-07-25,113851.0,130651.0,113851.0,122528.0
2022-08-01,122551.0,122871.0,117145.0,121004.0
2022-08-08,121004.0,126264.0,121004.0,125980.0
2022-08-15,125980.0,131585.0,123682.0,131009.0
2022-08-22,131009.0,143247.0,129649.0,141460.0
2022-08-29,141460.0,145859.0,134329.0,136302.0
2022-09-05,136369.0,144848.0,136326.0,144642.0
2022-09-12,144642.0,148452.0,142768.0,145742.0
2022-09-19,145742.0,150971.0,142610.0,142932.0
2022-09-26,142932.0,143804.0,134815.0,139115.0
2022-10-03,139137.0,148056.0,139137.0,144645.0
2022-10-10,144645.0,144645.0,135658.0,137291.0
2022-10-17,137291.0,140432.0,135632.0,138945.0
2022-10-24,138945.0,148809.0,136189.0,147845.0
2022-10-31,147868.0,154032.0,147645.0,151263.0
2022-11-07,151492.0,153570.0,142797.0,150413.0
2022-11-14,150413.0,157803.0,148517.0,157254.0
2022-11-21,157254.0,164001.0,155822.0,163717.0
2022-11-28,163717.0,171463.0,161508.0,169692.0
2022-12-05,169698.0,171433.0,164337.0,171178.0
2022-12-12,171178.0,171178.0,162736.0,165110.0
2022-12-19,165110.0,188360.0,165025.0,187784.0
2022-12-26,187784.0,205953.0,187060.0,202085.0
2023-01-02,202085.0,216280.0,197183.0,213794.0
2023-01-09,213794.0,243788.0,213794.0,242155.0
2023-01-16,242155.0,267244.0,222559.0,247680.0
